Country or region,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,,,,
Australia,20,20,20,"51,070","823,613","2,254,074","4,501,444","8,082,671","12,410,127","20,293,640","28,361,886","35,989,833","39,375,629","42,768,270","50,653,287","54,241,892","56,481,559","57,753,579","59,375,533","60,319,007","62,371,340","63,011,373","63,179,861","63,179,861","63,460,368","63,611,887","63,681,652","65,492,360","65,492,360","65,492,360","68,247,343","68,247,343","68,480,571",,,,
Austria,"31,790","31,790","364,418","885,732","1,863,002","3,313,413","5,824,871","8,307,594","9,920,906","10,718,512","11,148,412","11,993,434","14,754,686","16,677,400","17,963,207","18,209,211","18,310,588","18,400,191","18,520,039","18,647,304","18,940,102","19,124,417","19,387,051","19,887,029","20,212,063","20,351,827","20,418,050","20,441,522","20,455,410","20,463,465","20,466,793","20,468,731","20,468,731",,,,
Belgium,335,953,"408,116","914,124","2,105,022","4,031,367","7,015,765","11,348,106","14,730,654","16,364,087","16,902,365","17,667,556","19,085,022","21,730,574","24,057,986","24,964,417","25,193,295","25,240,085","25,371,018","25,599,632","25,650,330","25,713,661","27,583,233","29,231,107","29,437,465","29,498,749","29,527,952","29,535,799","29,541,052","29,543,169","29,544,807","29,545,734","29,546,122",,,,
Canada,5,"110,118","1,017,059","2,055,232","5,988,868","13,782,804","24,379,043","38,685,867","49,661,157","53,768,926","56,467,855","58,894,305","60,890,284","68,992,326","78,628,083","81,316,875","82,295,372","84,120,111","85,624,820","86,322,172","87,712,042","88,890,266","90,216,065","92,761,615","95,233,716","96,312,417","97,036,886","97,261,224","97,513,311","97,807,837","98,115,846","98,242,258","98,315,507",,,,
Chile,420,"9,053","251,039","3,682,160","10,805,884","14,942,520","19,005,597","23,422,336","25,902,222","29,360,798","32,614,188","37,209,648","41,227,753","44,315,163","46,913,590","48,999,104","50,871,175","52,919,759","57,332,086","59,551,431","61,165,878","62,020,101","62,391,658","62,502,031","62,582,227","62,624,900","62,681,227","62,688,847","62,688,847","62,688,847",,,,,,,
Czechia,"1,289","13,442","323,106","724,073","1,798,144","3,232,026","5,495,751","8,541,078","10,436,104","11,567,778","11,869,135","12,385,174","13,647,117","15,515,552","17,145,780","17,410,206","17,517,290","17,584,422","17,648,900","17,681,254","17,775,563","17,927,732","18,090,111","18,387,833","18,562,234","18,602,792","18,624,398","18,631,342","18,635,669","18,637,501","18,638,459","18,638,919","18,639,109",,,,
Denmark,2,"5,067","269,167","634,023","1,027,900","1,844,584","3,532,818","5,255,907","7,140,976","8,382,418","8,604,008","8,976,912","9,713,269","11,882,638","12,845,371","12,921,521","12,954,313","12,973,574","12,996,786","13,014,947","13,032,788","13,044,452","13,177,266","14,686,164","14,890,984","14,929,608","14,949,607","14,952,837","14,953,712","14,954,337","14,954,606","14,954,752","14,954,827",,,,
Estonia,191,"2,505","46,102","121,422","278,661","462,064","714,775","970,185","1,135,988","1,278,620","1,373,093","1,494,363","1,665,494","1,810,342","1,926,958","1,956,012","1,973,413","1,983,248","1,990,669","1,994,375","2,004,661","2,030,453","2,053,524","2,077,445","2,094,146","2,101,561","2,107,748","2,109,767","2,111,125","2,111,876","2,112,336","2,112,528","2,112,661",,,,
Finland,67,67,"176,836","476,479","1,086,457","1,931,781","2,964,331","4,543,218","5,674,066","7,038,469","7,708,740","8,212,502","8,602,876","9,706,038","11,063,093","11,450,857","11,698,750","11,758,847","12,059,352","12,186,022","12,315,719","12,659,151","12,828,674","12,907,029","13,072,863","13,155,024","13,185,055","13,200,849","13,209,082","13,212,167","13,214,538","13,215,451","13,215,591",,,,
France,616,"4,200","2,035,123","5,104,821","12,213,757","22,841,631","38,234,733","56,759,921","74,952,768","89,589,152","95,977,112","100,190,287","107,169,554","124,337,828","137,975,408","141,630,491","142,668,194","143,795,573","144,955,282","146,407,860","148,767,858","149,550,849","150,133,771","151,007,161","151,936,852","153,482,592","154,190,731","154,339,197","154,410,548","154,446,969","154,470,159","154,490,037","154,493,266",,,,
